country,hello
Andorra,Hola
United Arab Emirates,&#1605;&#1585;&#1581;&#1576;&#1575;
Afghanistan,&#1587;&#1604;&#1575;&#1605;
Antigua and Barbuda,Hello
Anguilla,Hello
Albania,Tungjatjeta
Armenia,&#1378;&#1377;&#1408;&#1415;
Netherlands Antilles,Halo
Angola,Ol&aacute;
Antarctica,Hello
Argentina,Hola
American Samoa,Hello
Austria,Gr&uuml;&szlig;gott
Australia,Hello
Aruba,Hallo
Azerbaijan,Salam
Bosnia and Herzegovina,Zdravo
Barbados,Hello
Bangladesh,&#2489;&#2509;&#2479;&#2494;&#2482;&#2507;
Belgium,Hallo
Burkina Faso,Salut
Bulgaria,Zdravei
Bahrain,&#1605;&#1585;&#1581;&#1576;&#1575;
Burundi,Salut
Benin,Salut
Bermuda,Hello
Brunei Darussalam,Hai
Bolivia,Hola
Brazil,Ol&aacute;
Bahamas,Hello
Bhutan,Kuzuzangpo La
Bouvet Island,Hei
Botswana,Hello
Belarus,&#1042;i&#1090;&#1072;&#1102;
Belize,Hello
Canada,Hello
Cocos (Keeling) Islands,Hai
Democratic Republic of Congo,Salut
Central African Republic,Salut
Congo,Salut
Switzerland,Hallo
Cook Islands,Kia orana
Chile,Hola
Cameroon,Salut
China,&#20320;&#22909;
Colombia,Hola
Costa Rica,Hola
Cuba,Que vola
Cape Verde,Ol&aacute;
Christmas Island,Hello
Cyprus,&#915;&#949;&#953;&#945; &#963;&#959;&#965;
Czech Republic,Ahoj
Germany,Hallo
Djibouti,&#1575;&#1607;&#1604;&#1575;
Denmark,Hej
Dominica,Hello
Dominican Republic,Hola
Algeria,&#1605;&#1585;&#1581;&#1576;&#1575;
Ecuador,Hola
Estonia,Tere
Egypt,&#1575;&#1607;&#1604;&#1575;
Spain,Hola
Finland,Moi
Fiji,Bula
France,Salut
Georgia,&#4306;&#4304;&#4315;&#4304;&#4320;&#4335;&#4317;&#4305;&#4304;
French Guiana,Salut
Greece,&#915;&#949;&#953;&#945; &#963;&#959;&#965;
Guyana,Hello
Hong Kong,&#20320;&#22909;
Croatia (Hrvatska),Bok
Haiti,Bonjou
Hungary,Szia
Indonesia,Halo
Ireland,Hi
Israel,&#1513;&#1500;&#1493;&#1501;
India,&#2344;&#2350;&#2360;&#2381;&#2340;&#2375;
British Indian Ocean Territory,Hello
Iraq,&#1605;&#1585;&#1581;&#1576;&#1575;
Iran,&#1587;&#1604;&#1575;&#1605;
Iceland,H&aelig;
Italy,Ci&agrave;o
Jamaica,Hello
Japan,&#12371;&#12435;&#12395;&#12385;&#12399;
Kenya,Hujambo
Cambodia,&#6023;&#6086;&#6042;&#6070;&#6036;&#6047;&#6077;&#6042;
North Korea,&#50504;&#45397;&#54616;&#49464;&#50836;
South Korea,&#50504;&#45397;&#54616;&#49464;&#50836;
Kazakhstan,Salem
Laos,Sabaidee
Lithuania,Labas
Luxembourg,Mo&iuml;en
Latvia,Sveiki
Macedonia,&#1047;&#1076;&#1088;&#1072;&#1074;&#1086;
Burma (Myanmar),Mingalarba
Mongolia,&#1057;&#1072;&#1081;&#1085; &#1091;&#1091;?
Malta,Hello
Mexico,Hola
Malaysia,Hai
Niger,Salut
Netherlands,Hallo
Norway,Hei
Nepal,&#2332;&#2381;&#2357;&#2332;&#2354;&#2346;&#2366;
New Zealand,Hello
Oman,&#1605;&#1585;&#1581;&#1576;&#1575;
Peru,Hola
French Polynesia,Salut
Philippines,Kumusta
Pakistan,&#1587;&#1604;&#1575;&#1605;
Poland,Cze&#347;&#263;
Puerto Rico,Hola
Portugal,Ol&aacute;
Romania,Salut
Serbia,Zdravo
Russia,&#1087;&#1088;&#1080;&#1074;&#1077;&#1090;
Saudi Arabia,&#1605;&#1585;&#1581;&#1576;&#1575;
Sweden,Hej
Singapore,&#24744;&#22909;
Slovenia,Zdravo
Slovakia,Ahoj
French Southern Territories,Salut
Thailand,&#3626;&#3623;&#3633;&#3626;&#3604;&#3637;
Turkey,Selam
Taiwan,&#20320;&#22909;
Tanzania,Hujambo
Ukraine,&#1087;&#1088;&#1080;&#1074;&#1110;&#1090;
Uganda,Hujambo
United Kingdom,Hi
United States,Hi
Uruguay,Hola
Uzbekistan,Uzbek
Vatican City,Ci&agrave;o
Saint Vincent and the Grenadines,Hello
Venezuela,Hola
British Virgin Islands,Hello
U.S. Virgin Islands,Hello
Vietnam,Cha&#832;o
Vanuatu,Halo
Wallis and Futuna Islands,Salut
Samoa,Talofa
Yemen,&#1575;&#1607;&#1604;&#1575;
South Africa,Hello
